,model,retail_price,partner_price,category,brand
256,CX3-20/40 TO CX3-80 NAVI DP Upg Lic,"$29,400","$21,756",Storage,EMC
257,CX3-20/40 TO CX3-80 NAVI EN Upg Lic,"$43,560","$32,234",Storage,EMC
258,CX3-20 OR CX3-40 TO CX3-80 MV/A UPGRADE,"$19,800","$14,652",Storage,EMC
259,CX3-20/40 TO CX3-80 MIRRORVIEW BOTH UPG,"$34,560","$25,574",Storage,EMC
260,CX3-20 OR CX3-40 TO CX3-80 MV/S UPGRADE,"$26,250","$19,425",Storage,EMC
261,CX3-20/40 TO CX3-80 NAVI WG Upg Lic,"$16,140","$11,944",Storage,EMC
262,2G DAE W DC PWR FIELD INS,"$7,300","$4,526",Storage,EMC
263,146GB 10K 2GB FC,"$1,020",$632,Storage,EMC
264,FC 146GB 10K 520B 2Gb 5PK,"$5,100","$3,162",Storage,EMC
265,CHV 36Gb 10K 520BPS 12V 2Gb,"$1,140",$707,Storage,EMC
266,73GB 10K 2Gb FC,$755,$468,Storage,EMC
267,FC 73GB 10K 520B 2Gb 5PK,"$3,775","$2,341",Storage,EMC
268,146GB 15K 2GB FC,"$1,330",$825,Storage,EMC
269,146GB 15K 2G FC UPG,"$1,800","$1,116",Storage,EMC
270,FC 36GB 15K 520B 2Gb,$685,$425,Storage,EMC
271,FC 36GB 15K 520B 2Gb 5PK,"$3,425","$2,124",Storage,EMC
272,FC 36GB 15K 520B 2Gb UPG,$925,$574,Storage,EMC
273,73GB 15K 2GB FC,"$1,030",$639,Storage,EMC
274,FC 73GB 15K 520B 2Gb 5PK,"$5,150","$3,193",Storage,EMC
275,DAE FC 2Gb EXPANS FOR CX,"$5,900","$3,658",Storage,EMC
276,CX700 DAE EXP W FLARE OS,"$5,900","$3,658",Storage,EMC
277,CX700 DAE W FLAR FLD INST,"$5,900","$3,658",Storage,EMC
278,DAE FC 2Gb EXP FLD INSTAL,"$5,900","$3,658",Storage,EMC
279,2Gb DAE EXP w/FLAREOS,"$6,200","$3,844",Storage,EMC
280,2Gb DAE EXP wFLAREOS FIELD,"$6,200","$3,844",Storage,EMC
281,CX700 2G FC DAE W/FLARE,"$5,900","$3,658",Storage,EMC
282,CX700 2G FC DAE W/FLARE,"$5,900","$3,658",Storage,EMC
283,DC CX4 CONV-KIT CX-2D300FD TO CX4-120CDC,"$17,750","$11,005",Storage,EMC
284,CX300 FC BASIC SVC,"$11,040","$6,845",Storage,EMC
285,CX300 FC FLD BASIC SVC,"$11,040","$6,845",Storage,EMC
286,CX300 FC BAS PLUS SVC,"$12,350","$7,657",Storage,EMC
287,CX300 FC FLD BAS PLUS SVC,"$12,350","$7,657",Storage,EMC
288,CX3-10 TO CX3-20 NAVI Dept Lic Upg,"$12,360","$9,146",Storage,EMC
289,CX3-10 TO CX3-20 NAVI Ent Lic Upg,"$18,600","$13,764",Storage,EMC
290,CX3-10 TO CX3-20 MIRRORVIEW/A LICENSE UP,"$9,000","$6,660",Storage,EMC
291,CX310 TO CX320 MVIEW BUNDLE LICENSE UPG,"$15,720","$11,633",Storage,EMC
292,CX3-10 TO CX3-20 MIRRORVIEW/S LICENSE UP,"$11,940","$8,836",Storage,EMC
293,CX3-10 TO CX3-20 NQM LICENSE UPGRADE,"$6,000","$4,440",Storage,EMC
294,CX3-10 TO CX3-40 NAVI Dept Lic Upg,"$23,520","$17,405",Storage,EMC
295,CX3-10 TO CX3-40 NAVI Ent Lic Upg,"$34,800","$25,752",Storage,EMC
296,CX3-10 TO CX3-40 MIRRORVIEW/A LICENSE UP,"$15,840","$11,722",Storage,EMC
297,CX310 TO CX340 MVIEW BUNDLE LICENSE UPG,"$27,600","$20,424",Storage,EMC
298,CX3-10 TO CX3-40 MIRRORVIEW/S LICENSE UP,"$21,000","$15,540",Storage,EMC
299,CX3-10 TO CX3-40 NQM LICENSE UPGRADE,"$13,800","$10,212",Storage,EMC
300,CX300 BUNDLE WITH 10 146GB-15K DRIVES,"$22,385","$13,879",Storage,EMC
301,CX300 BUNDLE WITH 10 146GB-15K,"$22,385","$13,879",Storage,EMC
302,CX300 BUNDLE W5 146GB 15K 2GB FC DRIVES,"$17,965","$11,138",Storage,EMC
303,CX300 BUNDLE W5 146GB 15K 2Gb FC DRIVES,"$17,965","$11,138",Storage,EMC
304,CX300 BUNDLE-15 146GB 10K,"$24,025","$14,896",Storage,EMC
305,NQM Upg CX3-20/40 TO CX3-80,"$19,800","$14,652",Storage,EMC
306,CX3-20 TO CX3-40 NAVI Dept Lic Upg,"$23,520","$17,405",Storage,EMC
307,CX3-20 TO CX3-40 NAVI Ent Upg Lic,"$34,800","$25,752",Storage,EMC
308,CX3-20 TO CX3-40 MIRRORVIEW A UPGRADE LI,"$15,840","$11,722",Storage,EMC
309,CX3-20 TO CX3-40 MIRRORVIEW UPG LIC,"$27,600","$20,424",Storage,EMC
310,CX3-20 TO CX3-40 MV/S UPGRADE LICENSE,"$21,000","$15,540",Storage,EMC
311,NQM Upg CX3-20 TO CX3-40,"$13,800","$10,212",Storage,EMC
312,CX3-20 TO CX3-40 NAVI WORKGROUP UPGRADE,"$12,900","$9,546",Storage,EMC
313,NQM Upg CX300 TO CX3-20,"$6,000","$4,440",Storage,EMC
314,CX3 UPGRADE DAE BNDL W/ 15 1TB SATA 5400,"$31,120","$19,294",Storage,EMC
315,CX3-10 OPTIONAL SECOND SPS FACT INSTALL,$900,$558,Storage,EMC
316,DC CX4 CONV CX4-120CDC TO CX4-240CDC,"$30,100","$18,662",Storage,EMC
317,CONVERSION FOR CX4-120CDC TO CX4-480CDC,"$80,100","$49,662",Storage,EMC
318,DC CX4 CONV FOR CX4-240CDC TO 480CDC,"$80,100","$49,662",Storage,EMC
319,CX4/500 TO CX3-40 MV/A UPGRADE LICENSE,"$15,840","$11,722",Storage,EMC
320,CX4/500 TO CX340 MVIEW BUNDLE UPG LIC,"$27,600","$20,424",Storage,EMC
