category,name,subcategory
"Dynamics 365 for Financials, Business Edition add-on for NAV Ltd, or SL AM/BE/Std (qualified offer) for Faculty",Dynamics 365, 
"Dynamics 365 for Financials, Business Edition add-on for NAV Ltd, or SL AM/BE/Std (qualified offer) for Students",Dynamics 365, 
"Dynamics 365 for Financials, Business Edition add-on for NAV/GP Full or SL Pro (qualified offer)",Dynamics 365, 
"Dynamics 365 for Financials, Business Edition add-on for NAV/GP Full or SL Pro (qualified offer) for Faculty",Dynamics 365, 
"Dynamics 365 for Financials, Business Edition add-on for NAV/GP Full or SL Pro (qualified offer) for Students",Dynamics 365, 
"Dynamics 365 for Financials, Business Edition for Faculty",Dynamics 365, 
"Dynamics 365 for Financials, Business Edition for Students",Dynamics 365, 
"Dynamics 365 for Financials, Business Edition from SA for NAV/GP Full, NAV Ltd, or SL AM/BE/Std/Pro (qualified offer)",Dynamics 365, 
"Dynamics 365 for Financials, Business Edition from SA for NAV/GP Full, NAV Ltd, or SL AM/BE/Std/Pro (qualified offer) for Faculty",Dynamics 365, 
"Dynamics 365 for Financials, Business Edition from SA for NAV/GP Full, NAV Ltd, or SL AM/BE/Std/Pro (qualified offer) for Students",Dynamics 365, 
"Dynamics 365 for Operations Activity for Faculty, Enterprise Edition Cloud Add-on from AX Functional",Dynamics 365, 
"Dynamics 365 for Operations Activity for Faculty, Enterprise Edition Cloud Add-on from AX Functional (Qualified Offer)",Dynamics 365, 
"Dynamics 365 for Operations Activity for Faculty, Enterprise Edition Cloud Add-on from AX Task ",Dynamics 365, 
"Dynamics 365 for Operations Activity for Faculty, Enterprise Edition Cloud Add-on from AX Task (Qualified Offer)",Dynamics 365, 
"Dynamics 365 for Operations Activity for Faculty, Enterprise Edition from SA from AX Functional or Task (Qualified Offer)",Dynamics 365, 
"Dynamics 365 for Operations Activity for Faculty, Enterprise Edition From SA from AX Functionality or Task",Dynamics 365, 
"Dynamics 365 for Operations Activity for Student, Enterprise Edition Cloud Add-on from AX Functional",Dynamics 365, 
"Dynamics 365 for Operations Activity for Student, Enterprise Edition Cloud Add-on from AX Functional (Qualified Offer)",Dynamics 365, 
"Dynamics 365 for Operations Activity for Student, Enterprise Edition Cloud Add-on from AX Task ",Dynamics 365, 
"Dynamics 365 for Operations Activity for Student, Enterprise Edition Cloud Add-on from AX Task (Qualified Offer)",Dynamics 365, 
"Dynamics 365 for Operations Activity for Student, Enterprise Edition from SA from AX Functional or Task (Qualified Offer)",Dynamics 365, 
"Dynamics 365 for Operations Activity for Student, Enterprise Edition From SA from AX Functionality or Task",Dynamics 365, 
"Dynamics 365 for Operations Activity, Enterprise Edition Cloud Add-on from AX Functional",Dynamics 365, 
"Dynamics 365 for Operations Activity, Enterprise Edition Cloud Add-on from AX Functional (Qualified Offer)",Dynamics 365, 
"Dynamics 365 for Operations Activity, Enterprise Edition Cloud Add-on from AX Task ",Dynamics 365, 
"Dynamics 365 for Operations Activity, Enterprise edition Cloud Add-on from AX Task (Qualified Offer)",Dynamics 365, 
"Dynamics 365 for Operations Activity, Enterprise Edition from SA from AX Functional or Task (Qualified Offer)",Dynamics 365, 
"Dynamics 365 for Operations Activity, Enterprise Edition From SA from AX Functionality or Task",Dynamics 365, 
"Dynamics 365 for Operations, Enterprise Edition - Additional Database Storage",Dynamics 365, 
"Dynamics 365 for Operations, Enterprise Edition - Additional Database Storage for Faculty",Dynamics 365, 
"Dynamics 365 for Operations, Enterprise Edition - Additional Database Storage for Students",Dynamics 365, 
"Dynamics 365 for Operations, Enterprise Edition - Additional File Storage",Dynamics 365, 
"Dynamics 365 for Operations, Enterprise Edition - Additional File Storage for Faculty",Dynamics 365, 
"Dynamics 365 for Operations, Enterprise Edition - Additional File Storage for Students",Dynamics 365, 
"Dynamics 365 for Operations, Enterprise Edition - Sandbox Tier 1:Developer & Test Instance",Dynamics 365, 
"Dynamics 365 for Operations, Enterprise Edition - Sandbox Tier 1:Developer & Test Instance for Faculty",Dynamics 365, 
