,brand,model,partner_price,retail_price,category
347,Cisco,CP-PWR-CUBE-2-RF,9.6,16.0,Appliance
348,Cisco,CP-PWR-CUBE-3,27.0,45.0,Network
349,Cisco,CP-PWR-CUBE-3-RF,16.2,27.0,Appliance
350,Cisco,CPS-PSU-650W=,378.0,630.0,Power
351,Cisco,CPS-RAID9271CV-8I=,1011.6,1686.0,Network
352,Cisco,CPS-OM5.1-LITE-250,30180.0,50300.0,Network
353,Cisco,CPS-MSP-2RU-K9-RF,4454.4,7424.0,Network
354,Cisco,CPS-SS-20TB-BNDL,5418.0,9030.0,Network
355,Cisco,CPS-SS-30TB-BNDL,9030.0,15050.0,Network
356,Cisco,CPS-SS-40TB-BNDL,12000.0,20000.0,Storage
357,Cisco,CP-PWR-CORD-AP=,6.0,10.0,Power
358,Cisco,CP-PWR-8821-UK,,,Power
359,Cisco,CP-PWR-8821-KR,,,Power
360,Cisco,CP-PWR-8821-IND,,,Power
361,Cisco,CP-PWR-8821-CE,,,Power
362,Cisco,CP-PWR-8821-BZ,,,Power
363,Cisco,CP-PWR-8821-AU,,,Power
364,Cisco,CP-PWR-8821-AR,,,Power
365,Cisco,CP-PWR-7925G-UK=,27.0,45.0,Power
366,Cisco,CP-PWR-7925G-NA=,27.0,45.0,Power
367,Cisco,CP-PWR-7925G-JP=,27.0,45.0,Power
368,Cisco,CP-PWR-7925G-CE=,27.0,45.0,Power
369,Cisco,CP-PWR-7925G-AU=,27.0,45.0,Power
370,Cisco,CP-MIC-WRLS-S-US=,120.0,200.0,Appliance
371,Cisco,CP-MIC-WRLS-S-EU=,120.0,200.0,Network
372,Cisco,CP-MIC-WRLS-S-AP=,120.0,200.0,Network
373,Cisco,CP-MIC-WIRED-S=,210.0,350.0,Appliance
374,Cisco,CP-MIC-WIRED-S-RF,126.0,210.0,Network
375,Cisco,CP-PWR-DC8821-CE,,,Power
385,Cisco,CPS-HD4T7KS3-E=,956.4,1594.0,Storage
387,Cisco,CPT-50-44GE-24A=,15000.0,25000.0,Network
388,Cisco,CPT-50-24A-LIC=,6900.0,11500.0,Network
389,Cisco,CPSINGLFOOTSTND-RF,12.0,20.0,Network
390,Cisco,CPS-UCS-2RU-K9=,7440.0,12400.0,Network
392,Cisco,CPS-UCS-1RU-K9=,2295.0,3825.0,Network
394,Cisco,CPS-SS-HDD-4000=,1380.0,2300.0,Storage
395,Cisco,CPS-SS-HDD-3000=,1050.0,1750.0,Network
396,Cisco,CPS-SS-HDD-2000=,630.0,1050.0,Network
397,Cisco,CPS-SS-EX-MOD=,4500.0,7500.0,Network
398,Cisco,CPS-SS-CI=,12.0,20.0,Network
399,Cisco,CPS-SS-CE=,12.0,20.0,Network
400,Cisco,CPS-SS-AC=,12.0,20.0,Network
401,Cisco,CPS-SS-4RU/EX-PS=,2160.0,3600.0,Network
402,Cisco,CPS-SS-4RU/EX-FAN=,135.0,225.0,Network
403,Cisco,CPS-SS-4RU-SP=,60600.0,101000.0,Network
404,Cisco,CPS-SS-4RU-RC=,9000.0,15000.0,Network
405,Cisco,CPS-SS-4RU-RC-RF,5400.0,9000.0,Storage
406,Cisco,CPS-SS-4RU-RC,10200.0,17000.0,Network
407,Cisco,CPS-SS-4RU-EX-SP=,54600.0,91000.0,Network
408,Cisco,CPS-SS-4RU-EX,37800.0,63000.0,Network
409,Cisco,CP-PWR-CUBE-3=,27.0,45.0,Power
410,Cisco,CP-PWR-CUBE-4=,39.0,65.0,Power
411,Cisco,CP-PWR-CUBE-5=,48.0,80.0,Power
412,Cisco,CP-PWR-DC7925G-NA=,27.0,45.0,Power
